"","animal_id","local_area","num_dets","first_det","last_det","mean_lat","mean_lon"
"125","V2LNSSA-15C-2019-05-09","Sheet Harbour estuary",1092,2019-05-16 04:30:01,2019-06-06 23:25:34,44.8958021924533,-62.4850195539726
"126","V2LNSSA-15C-2019-05-09","Sheet Harbour passage",533,2019-05-10 07:36:34,2019-06-07 03:01:02,44.8665695404,-62.4962837203505
"127","V2LNSSA-15C-2019-05-09","West River upper",2,2019-05-09 09:36:00,2019-05-09 09:36:00,44.9585454198472,-62.6177866412211
"128","V2LNSSA-15D-2019-05-09","West River upper",2,2019-05-09 09:36:00,2019-05-09 09:36:00,44.9585454198472,-62.6177866412211
"129","V2LNSSA-16C-2019-05-09","Sheet Harbour",2610,2019-05-10 08:31:36,2019-06-01 23:01:09,44.9202516530958,-62.5386218284875
"130","V2LNSSA-16C-2019-05-09","Sheet Harbour estuary",770,2019-05-19 18:11:17,2019-06-02 10:00:05,44.8958021924533,-62.4850195539726
"131","V2LNSSA-16C-2019-05-09","Sheet Harbour passage",8,2019-05-09 23:07:58,2019-05-09 23:19:21,44.8665695404,-62.4962837203505
"132","V2LNSSA-16C-2019-05-09","West River upper",2,2019-05-09 09:36:00,2019-05-09 09:36:00,44.9585454198472,-62.6177866412211
"133","V2LNSSA-17A-2019-05-10","Sheet Harbour",3632,2019-05-12 23:52:16,2019-06-06 23:51:00,44.9202516530958,-62.5386218284875
"134","V2LNSSA-17A-2019-05-10","Sheet Harbour estuary",784,2019-05-18 19:55:13,2019-06-07 03:08:17,44.8958021924533,-62.4850195539726
"135","V2LNSSA-17A-2019-05-10","Sheet Harbour passage",104,2019-05-12 10:38:33,2019-06-07 21:51:04,44.8665695404,-62.4962837203505
"136","V2LNSSA-17A-2019-05-10","West River upper",2,2019-05-10 09:36:00,2019-05-10 09:36:00,44.9585454198472,-62.6177866412211
"137","V2LNSSA-17B-2019-05-10","Sheet Harbour",4087,2019-05-13 00:25:12,2019-05-18 19:04:07,44.9202516530958,-62.5386218284875
"138","V2LNSSA-17B-2019-05-10","Sheet Harbour passage",35,2019-05-12 07:19:54,2019-05-12 09:05:58,44.8665695404,-62.4962837203505
"139","V2LNSSA-17B-2019-05-10","West River upper",2,2019-05-10 09:36:00,2019-05-10 09:36:00,44.9585454198472,-62.6177866412211
